wavelength [nm],transmission
360,8.25E-08
360.2,8.74E-08
360.4,9.26E-08
360.6,9.81E-08
360.8,1.04E-07
361,1.10E-07
361.2,1.17E-07
361.4,1.24E-07
361.6,1.31E-07
361.8,1.39E-07
362,1.36E-07
362.2,1.32E-07
362.4,1.28E-07
362.6,1.24E-07
362.8,1.21E-07
363,1.17E-07
363.2,1.14E-07
363.4,1.10E-07
363.6,1.07E-07
363.8,1.04E-07
364,9.52E-08
364.2,8.55E-08
364.4,7.67E-08
364.6,6.89E-08
364.8,6.18E-08
365,5.55E-08
365.2,4.98E-08
365.4,4.47E-08
365.6,4.02E-08
365.8,3.61E-08
366,3.68E-08
366.2,4.10E-08
366.4,4.57E-08
366.6,5.09E-08
366.8,5.66E-08
367,6.31E-08
367.2,7.02E-08
367.4,7.82E-08
367.6,8.71E-08
367.8,9.70E-08
368,1.08E-07
368.2,1.19E-07
368.4,1.31E-07
368.6,1.45E-07
368.8,1.60E-07
369,1.77E-07
369.2,1.96E-07
369.4,2.16E-07
369.6,2.39E-07
369.8,2.64E-07
370,2.78E-07
370.2,2.20E-07
370.4,1.75E-07
370.6,1.39E-07
370.8,1.10E-07
371,8.71E-08
371.2,6.90E-08
371.4,5.47E-08
371.6,4.34E-08
371.8,3.44E-08
372,3.99E-08
372.2,4.81E-08
372.4,5.80E-08
372.6,7.00E-08
372.8,8.45E-08
373,1.02E-07
373.2,1.23E-07
373.4,1.48E-07
373.6,1.79E-07
373.8,2.16E-07
374,2.35E-07
374.2,2.47E-07
374.4,2.59E-07
374.6,2.73E-07
374.8,2.86E-07
375,3.01E-07
375.2,3.16E-07
375.4,3.32E-07
375.6,3.49E-07
375.8,3.67E-07
376,3.51E-07
376.2,3.14E-07
376.4,2.81E-07
376.6,2.52E-07
376.8,2.26E-07
377,2.02E-07
377.2,1.81E-07
377.4,1.62E-07
377.6,1.45E-07
377.8,1.30E-07
378,1.30E-07
378.2,1.50E-07
378.4,1.73E-07
378.6,1.99E-07
378.8,2.28E-07
379,2.63E-07
379.2,3.03E-07
379.4,3.48E-07
379.6,4.01E-07
379.8,4.61E-07
380,5.25E-07
380.2,5.60E-07
380.4,5.97E-07
380.6,6.37E-07
380.8,6.79E-07
381,7.24E-07
381.2,7.73E-07
381.4,8.24E-07
381.6,8.79E-07
381.8,9.37E-07
382,9.45E-07
382.2,9.45E-07
382.4,9.45E-07
382.6,9.45E-07
382.8,9.45E-07
383,9.46E-07
383.2,9.46E-07
383.4,9.46E-07
383.6,9.46E-07
383.8,9.46E-07
384,7.33E-07
384.2,5.13E-07
384.4,3.60E-07
384.6,2.52E-07
384.8,1.77E-07
385,1.24E-07
385.2,8.69E-08
385.4,6.09E-08
385.6,4.27E-08
385.8,2.99E-08
386,2.57E-08
386.2,2.55E-08
386.4,2.54E-08
386.6,2.53E-08
386.8,2.52E-08
387,2.51E-08
387.2,2.49E-08
387.4,2.48E-08
387.6,2.47E-08
387.8,2.46E-08
388,2.60E-08
388.2,3.00E-08
388.4,3.46E-08
388.6,3.99E-08
388.8,4.60E-08
389,5.30E-08
389.2,6.10E-08
389.4,7.03E-08
389.6,8.11E-08
389.8,9.34E-08
390,1.03E-07
390.2,8.68E-08
390.4,7.32E-08
390.6,6.17E-08
390.8,5.20E-08
391,4.38E-08
391.2,3.69E-08
391.4,3.11E-08
391.6,2.62E-08
391.8,2.21E-08
392,2.15E-08
392.2,2.14E-08
392.4,2.13E-08
392.6,2.12E-08
392.8,2.11E-08
393,2.10E-08
393.2,2.09E-08
393.4,2.08E-08
393.6,2.07E-08
393.8,2.06E-08
394,2.22E-08
394.2,2.47E-08
394.4,2.74E-08
394.6,3.04E-08
394.8,3.37E-08
395,3.75E-08
395.2,4.16E-08
395.4,4.62E-08
395.6,5.12E-08
395.8,5.69E-08
396,6.50E-08
396.2,7.57E-08
396.4,8.83E-08
396.6,1.03E-07
396.8,1.20E-07
397,1.40E-07
397.2,1.63E-07
397.4,1.90E-07
397.6,2.22E-07
397.8,2.59E-07
398,2.53E-07
398.2,1.97E-07
398.4,1.53E-07
398.6,1.20E-07
398.8,9.31E-08
399,7.25E-08
399.2,5.65E-08
399.4,4.40E-08
399.6,3.43E-08
399.8,2.67E-08
400,2.16E-08
400.2,2.20E-08
400.4,2.24E-08
400.6,2.28E-08
400.8,2.32E-08
401,2.37E-08
401.2,2.41E-08
401.4,2.45E-08
401.6,2.50E-08
401.8,2.54E-08
402,2.53E-08
402.2,2.51E-08
402.4,2.50E-08
402.6,2.48E-08
402.8,2.47E-08
403,2.45E-08
403.2,2.43E-08
403.4,2.42E-08
403.6,2.40E-08
403.8,2.39E-08
404,2.57E-08
404.2,2.85E-08
404.4,3.16E-08
404.6,3.50E-08
404.8,3.87E-08
405,4.29E-08
405.2,4.75E-08
405.4,5.26E-08
405.6,5.82E-08
405.8,6.45E-08
406,6.26E-08
406.2,5.59E-08
406.4,4.99E-08
406.6,4.45E-08
406.8,3.97E-08
407,3.55E-08
407.2,3.17E-08
407.4,2.83E-08
407.6,2.52E-08
407.8,2.25E-08
408,2.16E-08
408.2,2.23E-08
408.4,2.31E-08
408.6,2.39E-08
408.8,2.48E-08
409,2.57E-08
409.2,2.66E-08
409.4,2.75E-08
409.6,2.85E-08
409.8,2.95E-08
410,3.01E-08
410.2,2.87E-08
410.4,2.73E-08
410.6,2.60E-08
410.8,2.48E-08
411,2.36E-08
411.2,2.25E-08
411.4,2.14E-08
411.6,2.04E-08
411.8,1.94E-08
412,2.11E-08
412.2,2.35E-08
412.4,2.60E-08
412.6,2.89E-08
412.8,3.21E-08
413,3.57E-08
413.2,3.96E-08
413.4,4.40E-08
413.6,4.89E-08
413.8,5.43E-08
414,5.15E-08
414.2,4.61E-08
414.4,4.13E-08
414.6,3.69E-08
414.8,3.30E-08
415,2.96E-08
415.2,2.65E-08
415.4,2.37E-08
415.6,2.12E-08
415.8,1.90E-08
416,1.88E-08
416.2,2.01E-08
416.4,2.15E-08
416.6,2.29E-08
416.8,2.45E-08
417,2.61E-08
417.2,2.79E-08
417.4,2.98E-08
417.6,3.18E-08
417.8,3.40E-08
418,3.47E-08
418.2,3.37E-08
418.4,3.27E-08
418.6,3.17E-08
418.8,3.08E-08
419,2.98E-08
419.2,2.90E-08
419.4,2.81E-08
419.6,2.73E-08
419.8,2.65E-08
420,2.68E-08
420.2,3.33E-08
420.4,4.13E-08
420.6,5.14E-08
420.8,6.38E-08
421,7.93E-08
421.2,9.85E-08
421.4,1.22E-07
421.6,1.52E-07
421.8,1.89E-07
422,1.96E-07
422.2,1.97E-07
422.4,1.98E-07
422.6,1.99E-07
422.8,2.00E-07
423,2.01E-07
423.2,2.02E-07
423.4,2.03E-07
423.6,2.04E-07
423.8,2.04E-07
424,1.71E-07
424.2,1.32E-07
424.4,1.02E-07
424.6,7.94E-08
424.8,6.16E-08
425,4.77E-08
425.2,3.70E-08
425.4,2.87E-08
425.6,2.22E-08
425.8,1.72E-08
426,1.55E-08
426.2,1.55E-08
426.4,1.54E-08
426.6,1.54E-08
426.8,1.54E-08
427,1.54E-08
427.2,1.54E-08
427.4,1.53E-08
427.6,1.53E-08
427.8,1.53E-08
428,1.52E-08
428.2,1.49E-08
428.4,1.47E-08
428.6,1.45E-08
428.8,1.43E-08
429,1.40E-08
429.2,1.38E-08
429.4,1.36E-08
429.6,1.34E-08
429.8,1.32E-08
430,1.30E-08
430.2,1.28E-08
430.4,1.26E-08
430.6,1.24E-08
430.8,1.23E-08
431,1.21E-08
431.2,1.19E-08
431.4,1.17E-08
431.6,1.16E-08
431.8,1.14E-08
432,1.43E-08
432.2,1.87E-08
432.4,2.44E-08
432.6,3.19E-08
432.8,4.17E-08
433,5.44E-08
433.2,7.11E-08
433.4,9.29E-08
433.6,1.21E-07
433.8,1.59E-07
434,1.40E-07
434.2,1.07E-07
434.4,8.16E-08
434.6,6.23E-08
434.8,4.76E-08
435,3.64E-08
435.2,2.78E-08
435.4,2.12E-08
435.6,1.62E-08
435.8,1.24E-08
436,1.31E-08
436.2,1.70E-08
436.4,2.21E-08
436.6,2.87E-08
436.8,3.73E-08
437,4.84E-08
437.2,6.29E-08
437.4,8.16E-08
437.6,1.06E-07
437.8,1.38E-07
438,1.57E-07
438.2,1.58E-07
438.4,1.59E-07
438.6,1.59E-07
438.8,1.60E-07
439,1.61E-07
439.2,1.61E-07
439.4,1.62E-07
439.6,1.63E-07
439.8,1.63E-07
440,1.68E-07
440.2,1.89E-07
440.4,2.12E-07
440.6,2.38E-07
440.8,2.68E-07
441,3.01E-07
441.2,3.39E-07
441.4,3.81E-07
441.6,4.29E-07
441.8,4.82E-07
442,4.67E-07
442.2,4.39E-07
442.4,4.13E-07
442.6,3.88E-07
442.8,3.65E-07
443,3.43E-07
443.2,3.22E-07
443.4,3.03E-07
443.6,2.85E-07
443.8,2.68E-07
444,2.10E-07
444.2,1.53E-07
444.4,1.11E-07
444.6,8.09E-08
444.8,5.89E-08
445,4.29E-08
445.2,3.12E-08
445.4,2.27E-08
445.6,1.66E-08
445.8,1.21E-08
446,1.17E-08
446.2,1.36E-08
446.4,1.60E-08
446.6,1.87E-08
446.8,2.18E-08
447,2.55E-08
447.2,2.98E-08
447.4,3.49E-08
447.6,4.08E-08
447.8,4.77E-08
448,4.80E-08
448.2,4.12E-08
448.4,3.53E-08
448.6,3.03E-08
448.8,2.60E-08
449,2.24E-08
449.2,1.92E-08
449.4,1.65E-08
449.6,1.41E-08
449.8,1.21E-08
450,1.07E-08
450.2,1.07E-08
450.4,1.06E-08
450.6,1.06E-08
450.8,1.06E-08
451,1.05E-08
451.2,1.05E-08
451.4,1.05E-08
451.6,1.04E-08
451.8,1.04E-08
452,1.23E-08
452.2,1.52E-08
452.4,1.88E-08
452.6,2.32E-08
452.8,2.86E-08
453,3.54E-08
453.2,4.36E-08
453.4,5.39E-08
453.6,6.65E-08
453.8,8.21E-08
454,8.91E-08
454.2,9.17E-08
454.4,9.43E-08
454.6,9.71E-08
454.8,9.99E-08
455,1.03E-07
455.2,1.06E-07
455.4,1.09E-07
455.6,1.12E-07
455.8,1.15E-07
456,1.01E-07
456.2,7.92E-08
456.4,6.23E-08
456.6,4.89E-08
456.8,3.84E-08
457,3.02E-08
457.2,2.37E-08
457.4,1.87E-08
457.6,1.47E-08
457.8,1.15E-08
458,1.07E-08
458.2,1.17E-08
458.4,1.28E-08
458.6,1.40E-08
458.8,1.54E-08
459,1.69E-08
459.2,1.85E-08
459.4,2.02E-08
459.6,2.22E-08
459.8,2.43E-08
460,2.57E-08
460.2,2.31E-08
460.4,2.08E-08
460.6,1.87E-08
460.8,1.68E-08
461,1.51E-08
461.2,1.36E-08
461.4,1.22E-08
461.6,1.10E-08
461.8,9.88E-09
462,9.68E-09
462.2,9.66E-09
462.4,9.65E-09
462.6,9.63E-09
462.8,9.61E-09
463,9.59E-09
463.2,9.57E-09
463.4,9.55E-09
463.6,9.53E-09
463.8,9.51E-09
464,1.18E-08
464.2,1.60E-08
464.4,2.16E-08
464.6,2.93E-08
464.8,3.96E-08
465,5.36E-08
465.2,7.25E-08
465.4,9.82E-08
465.6,1.33E-07
465.8,1.80E-07
466,1.82E-07
466.2,1.54E-07
466.4,1.31E-07
466.6,1.11E-07
466.8,9.43E-08
467,8.00E-08
467.2,6.79E-08
467.4,5.76E-08
467.6,4.89E-08
467.8,4.15E-08
468,3.92E-08
468.2,4.09E-08
468.4,4.28E-08
468.6,4.47E-08
468.8,4.67E-08
469,4.87E-08
469.2,5.09E-08
469.4,5.32E-08
469.6,5.55E-08
469.8,5.80E-08
470,6.10E-08
470.2,6.61E-08
470.4,7.16E-08
470.6,7.75E-08
470.8,8.39E-08
471,9.09E-08
471.2,9.84E-08
471.4,1.07E-07
471.6,1.15E-07
471.8,1.25E-07
472,1.23E-07
472.2,1.20E-07
472.4,1.16E-07
472.6,1.12E-07
472.8,1.09E-07
473,1.06E-07
473.2,1.02E-07
473.4,9.93E-08
473.6,9.62E-08
473.8,9.33E-08
474,9.44E-08
474.2,9.70E-08
474.4,9.97E-08
474.6,1.02E-07
474.8,1.05E-07
475,1.08E-07
475.2,1.11E-07
475.4,1.14E-07
475.6,1.18E-07
475.8,1.21E-07
476,1.15E-07
476.2,1.04E-07
476.4,9.40E-08
476.6,8.51E-08
476.8,7.71E-08
477,6.98E-08
477.2,6.32E-08
477.4,5.73E-08
477.6,5.19E-08
477.8,4.70E-08
478,4.57E-08
478.2,4.72E-08
478.4,4.87E-08
478.6,5.03E-08
478.8,5.20E-08
479,5.37E-08
479.2,5.55E-08
479.4,5.73E-08
479.6,5.91E-08
479.8,6.11E-08
480,6.33E-08
480.2,6.61E-08
480.4,6.91E-08
480.6,7.23E-08
480.8,7.56E-08
481,7.90E-08
481.2,8.26E-08
481.4,8.63E-08
481.6,9.02E-08
481.8,9.43E-08
482,9.08E-08
482.2,8.57E-08
482.4,8.08E-08
482.6,7.63E-08
482.8,7.20E-08
483,6.79E-08
483.2,6.41E-08
483.4,6.05E-08
483.6,5.71E-08
483.8,5.38E-08
484,4.79E-08
484.2,4.16E-08
484.4,3.61E-08
484.6,3.14E-08
484.8,2.73E-08
485,2.37E-08
485.2,2.06E-08
485.4,1.79E-08
485.6,1.55E-08
485.8,1.35E-08
486,1.53E-08
486.2,2.05E-08
486.4,2.73E-08
486.6,3.65E-08
486.8,4.87E-08
487,6.51E-08
487.2,8.69E-08
487.4,1.16E-07
487.6,1.55E-07
487.8,2.07E-07
488,2.30E-07
488.2,2.17E-07
488.4,2.06E-07
488.6,1.94E-07
488.8,1.84E-07
489,1.74E-07
489.2,1.64E-07
489.4,1.55E-07
489.6,1.47E-07
489.8,1.39E-07
490,3.83E-08
490.2,1.93E-08
490.4,3.64E-08
490.6,6.50E-08
490.8,6.96E-08
491,7.46E-08
491.2,4.63E-08
491.4,1.93E-08
491.6,1.26E-08
491.8,1.26E-08
492,1.25E-08
492.2,1.24E-08
492.4,1.23E-08
492.6,1.22E-08
492.8,1.22E-08
493,1.36E-08
493.2,1.78E-08
493.4,2.33E-08
493.6,1.85E-08
493.8,1.39E-08
494,1.17E-08
494.2,1.17E-08
494.4,1.16E-08
494.6,1.16E-08
494.8,1.16E-08
495,2.16E-08
495.2,4.67E-08
495.4,6.07E-08
495.6,2.35E-08
495.8,1.14E-08
496,1.14E-08
496.2,1.13E-08
496.4,1.13E-08
496.6,1.12E-08
496.8,1.43E-08
497,4.66E-08
497.2,1.24E-07
497.4,6.04E-08
497.6,2.96E-08
497.8,2.93E-08
498,4.80E-08
498.2,7.14E-08
498.4,2.75E-08
498.6,1.08E-08
498.8,1.07E-08
499,1.07E-08
499.2,1.06E-08
499.4,1.06E-08
499.6,1.06E-08
499.8,2.04E-08
500,4.00E-08
500.2,2.52E-08
500.4,1.45E-08
500.6,1.38E-08
500.8,2.79E-08
501,5.66E-08
501.2,5.16E-08
501.4,4.21E-08
501.6,2.56E-08
501.8,1.47E-08
502,1.00E-08
502.2,9.98E-09
502.4,9.93E-09
502.6,9.89E-09
502.8,9.86E-09
503,1.58E-08
503.2,2.98E-08
503.4,4.24E-08
503.6,2.24E-08
503.8,1.18E-08
504,2.17E-08
504.2,6.80E-08
504.4,8.36E-08
504.6,5.59E-08
504.8,3.68E-08
505,2.12E-08
505.2,1.22E-08
505.4,1.49E-08
505.6,3.25E-08
505.8,4.76E-08
506,4.73E-08
506.2,4.70E-08
506.4,2.48E-08
506.6,1.30E-08
506.8,9.22E-09
507,9.17E-09
507.2,9.11E-09
507.4,9.05E-09
507.6,8.99E-09
507.8,8.94E-09
508,8.90E-09
508.2,8.87E-09
508.4,8.85E-09
508.6,8.82E-09
508.8,8.80E-09
509,8.78E-09
509.2,1.25E-08
509.4,1.93E-08
509.6,2.45E-08
509.8,1.93E-08
510,1.75E-08
510.2,1.75E-08
510.4,2.37E-08
510.6,5.59E-08
510.8,1.21E-07
511,3.51E-08
511.2,1.72E-08
511.4,1.71E-08
511.6,2.75E-08
511.8,3.95E-08
512,1.69E-08
512.2,1.68E-08
512.4,1.67E-08
512.6,1.84E-08
512.8,3.17E-08
513,3.20E-08
513.2,1.65E-08
513.4,1.65E-08
513.6,1.65E-08
513.8,2.45E-08
514,3.52E-08
514.2,2.61E-08
514.4,2.10E-08
514.6,3.28E-08
514.8,3.27E-08
515,1.95E-08
515.2,1.63E-08
515.4,2.37E-08
515.6,4.91E-08
515.8,4.13E-08
516,1.88E-08
516.2,5.63E-08
516.4,5.19E-08
516.6,2.75E-08
516.8,1.98E-08
517,3.04E-08
517.2,3.11E-08
517.4,2.94E-08
517.6,1.68E-08
517.8,1.53E-08
518,1.52E-08
518.2,1.76E-08
518.4,2.94E-08
518.6,3.50E-08
518.8,1.54E-08
519,2.67E-08
519.2,3.87E-08
519.4,4.51E-08
519.6,4.05E-08
519.8,2.53E-08
520,1.97E-08
520.2,5.92E-08
520.4,5.97E-08
520.6,2.65E-08
520.8,2.92E-08
521,6.62E-08
521.2,2.02E-08
521.4,2.01E-08
521.6,7.18E-08
521.8,6.13E-08
522,3.90E-08
522.2,2.23E-08
522.4,1.44E-08
522.6,1.43E-08
522.8,1.43E-08
523,1.42E-08
523.2,1.41E-08
523.4,2.94E-08
523.6,4.48E-08
523.8,2.60E-08
524,1.76E-08
524.2,3.00E-08
524.4,5.19E-08
524.6,4.56E-08
524.8,2.44E-08
525,2.04E-08
525.2,4.97E-08
525.4,1.71E-08
525.6,1.50E-08
525.8,4.51E-08
526,4.54E-08
526.2,2.52E-08
526.4,2.00E-08
526.6,6.62E-08
526.8,3.66E-08
527,2.68E-08
527.2,1.54E-08
527.4,1.34E-08
527.6,1.33E-08
527.8,2.04E-08
528,1.16E-07
528.2,2.79E-08
528.4,3.25E-08
528.6,2.12E-08
528.8,2.34E-08
529,7.06E-08
529.2,1.97E-08
529.4,3.13E-08
529.6,5.89E-08
529.8,2.82E-08
530,5.79E-08
530.2,3.07E-08
530.4,1.30E-08
530.6,1.30E-08
530.8,1.29E-08
531,1.29E-08
531.2,1.29E-08
531.4,4.34E-08
531.6,3.27E-08
531.8,2.07E-08
532,7.07E-08
532.2,2.95E-08
532.4,4.31E-08
532.6,3.07E-08
532.8,1.88E-08
533,1.88E-08
533.2,6.19E-08
533.4,1.87E-08
533.6,2.68E-08
533.8,2.82E-08
534,1.45E-08
534.2,1.24E-08
534.4,1.24E-08
534.6,1.24E-08
534.8,1.26E-08
535,7.18E-08
535.2,3.31E-08
535.4,1.42E-08
535.6,2.73E-08
535.8,2.95E-08
536,1.64E-08
536.2,6.84E-08
536.4,1.90E-08
536.6,1.12E-08
536.8,9.37E-09
537,9.11E-09
537.2,1.03E-08
537.4,1.98E-08
537.6,2.71E-08
537.8,2.70E-08
538,2.97E-08
538.2,4.61E-08
538.4,6.51E-08
538.6,4.34E-08
538.8,1.19E-08
539,1.18E-08
539.2,3.45E-08
539.4,3.97E-08
539.6,3.81E-08
539.8,6.03E-08
540,7.26E-08
540.2,4.54E-08
540.4,1.51E-08
540.6,1.18E-08
540.8,2.19E-08
541,2.13E-08
541.2,1.18E-08
541.4,1.49E-08
541.6,3.52E-08
541.8,4.43E-08
542,2.04E-08
542.2,1.66E-08
542.4,3.28E-08
542.6,5.39E-08
542.8,6.20E-08
543,3.56E-08
543.2,5.08E-08
543.4,3.47E-08
543.6,2.35E-08
543.8,3.91E-08
544,5.38E-08
544.2,2.11E-08
544.4,1.21E-08
544.6,4.46E-08
544.8,3.01E-08
545,1.68E-08
545.2,1.78E-08
545.4,8.51E-09
545.6,8.51E-09
545.8,1.55E-08
546,2.18E-08
546.2,1.13E-08
546.4,1.03E-08
546.6,1.25E-08
546.8,1.13E-08
547,1.13E-08
547.2,1.13E-08
547.4,1.13E-08
547.6,1.13E-08
547.8,1.72E-08
548,4.95E-08
548.2,3.42E-08
548.4,1.13E-08
548.6,5.25E-08
548.8,5.64E-08
549,4.47E-08
549.2,5.05E-08
549.4,7.29E-08
549.6,5.58E-08
549.8,5.57E-08
550,2.73E-08
550.2,4.17E-08
550.4,5.16E-08
550.6,3.49E-08
550.8,3.81E-08
551,2.56E-08
551.2,6.12E-08
551.4,1.85E-08
551.6,1.11E-08
551.8,1.11E-08
552,1.34E-08
552.2,3.78E-08
552.4,1.04E-08
552.6,2.01E-08
552.8,1.62E-08
553,8.42E-09
553.2,8.32E-09
553.4,1.35E-08
553.6,5.43E-08
553.8,1.10E-08
554,1.10E-08
554.2,3.77E-08
554.4,5.33E-08
554.6,3.50E-08
554.8,4.33E-08
555,3.18E-08
555.2,1.11E-08
555.4,1.92E-08
555.6,1.42E-08
555.8,2.24E-08
556,6.88E-08
556.2,8.65E-08
556.4,2.94E-08
556.6,3.21E-08
556.8,4.02E-08
557,3.68E-08
557.2,2.21E-08
557.4,1.08E-08
557.6,1.08E-08
557.8,1.85E-08
558,1.13E-08
558.2,2.41E-08
558.4,1.81E-08
558.6,1.08E-08
558.8,1.08E-08
559,1.08E-08
559.2,3.49E-08
559.4,2.40E-08
559.6,1.35E-08
559.8,1.08E-08
560,1.08E-08
560.2,1.08E-08
560.4,1.08E-08
