wavelength [nm],transmission
592.2,0.00847
592.4,0.00871
592.6,0.00901
592.8,0.00929
593,0.00963
593.2,0.01
593.4,0.01038
593.6,0.0109
593.8,0.0114
594,0.01198
594.2,0.01263
594.4,0.01341
594.6,0.01419
594.8,0.01501
595,0.01606
595.2,0.01706
595.4,0.0182
595.6,0.01945
595.8,0.02064
596,0.0219
596.2,0.02323
596.4,0.02462
596.6,0.0261
596.8,0.02728
597,0.02835
597.2,0.02952
597.4,0.03034
597.6,0.03097
597.8,0.03147
598,0.03175
598.2,0.03171
598.4,0.03157
598.6,0.03134
598.8,0.03082
599,0.03002
599.2,0.02911
599.4,0.02822
599.6,0.02702
599.8,0.02575
600,0.0246
600.2,0.0233
600.4,0.022
600.6,0.02077
600.8,0.01961
601,0.01856
601.2,0.01755
601.4,0.01658
601.6,0.01571
601.8,0.01488
602,0.01413
602.2,0.01342
602.4,0.0128
602.6,0.01226
602.8,0.01177
603,0.01132
603.2,0.01094
603.4,0.01056
603.6,0.01027
603.8,0.00999
604,0.00968
604.2,0.0095
604.4,0.00924
604.6,0.0091
604.8,0.00893
605,0.00887
605.2,0.00874
605.4,0.00865
605.6,0.00857
605.8,0.00856
606,0.00851
606.2,0.00848
606.4,0.00851
606.6,0.00856
606.8,0.00856
607,0.0086
607.2,0.00871
607.4,0.00879
607.6,0.0089
607.8,0.009
608,0.01001
608.2,0.01185
608.4,0.01204
608.6,0.01224
608.8,0.01249
609,0.01276
609.2,0.01301
609.4,0.01334
609.6,0.01367
609.8,0.01408
610,0.01446
610.2,0.01491
610.4,0.01539
610.6,0.01591
610.8,0.01657
611,0.01721
611.2,0.01782
611.4,0.01861
611.6,0.01946
611.8,0.02037
612,0.02138
612.2,0.02238
612.4,0.02358
612.6,0.02481
612.8,0.02614
613,0.02767
613.2,0.02928
613.4,0.03102
613.6,0.03294
613.8,0.03509
614,0.03753
614.2,0.04016
614.4,0.04295
614.6,0.04603
614.8,0.04941
615,0.05304
615.2,0.05704
615.4,0.06151
615.6,0.06637
615.8,0.07178
616,0.07748
616.2,0.08356
616.4,0.09045
616.6,0.09745
616.8,0.10505
617,0.1136
617.2,0.12273
617.4,0.13205
617.6,0.14204
617.8,0.15199
618,0.16222
618.2,0.17319
618.4,0.18526
618.6,0.19688
618.8,0.20836
619,0.22121
619.2,0.2333
619.4,0.24514
619.6,0.25647
619.8,0.267
620,0.27766
620.2,0.28925
620.4,0.3
620.6,0.30995
620.8,0.31994
621,0.32881
621.2,0.33793
621.4,0.34629
621.6,0.35501
621.8,0.36339
622,0.37138
622.2,0.37915
622.4,0.38776
622.6,0.39874
622.8,0.40755
623,0.41875
623.2,0.43076
623.4,0.44182
623.6,0.45572
623.8,0.4708
624,0.48921
624.2,0.50807
624.4,0.52855
624.6,0.5529
624.8,0.57735
625,0.6042
625.2,0.63229
625.4,0.66207
625.6,0.69299
625.8,0.72453
626,0.75645
626.2,0.78584
626.4,0.81421
626.6,0.84186
626.8,0.86464
627,0.88646
627.2,0.90359
627.4,0.9199
627.6,0.93078
627.8,0.94017
628,0.94703
628.2,0.95336
628.4,0.95768
628.6,0.96212
628.8,0.96104
629,0.96027
629.2,0.96031
629.4,0.96115
629.6,0.9613
629.8,0.96034
630,0.96094
630.2,0.96063
630.4,0.95896
630.6,0.9578
630.8,0.95932
631,0.96007
631.2,0.95901
631.4,0.95831
631.6,0.95566
631.8,0.95487
632,0.95407
632.2,0.95434
632.4,0.95359
632.6,0.9555
632.8,0.95827
633,0.95764
633.2,0.95873
633.4,0.95458
633.6,0.95329
633.8,0.95257
634,0.95366
634.2,0.95249
634.4,0.95108
634.6,0.95254
634.8,0.95309
635,0.95564
635.2,0.95784
635.4,0.95759
635.6,0.95643
635.8,0.95702
636,0.95721
636.2,0.96113
636.4,0.96504
636.6,0.9662
636.8,0.96531
637,0.96584
637.2,0.96872
637.4,0.9707
637.6,0.97359
637.8,0.97172
638,0.9726
638.2,0.97298
638.4,0.97358
638.6,0.97449
638.8,0.97498
639,0.97491
639.2,0.97481
639.4,0.97595
639.6,0.97733
639.8,0.97661
640,0.97664
640.2,0.97753
640.4,0.97563
640.6,0.9772
640.8,0.97769
641,0.97402
641.2,0.97196
641.4,0.9706
641.6,0.97045
641.8,0.96925
642,0.96628
642.2,0.96668
642.4,0.96577
642.6,0.96439
642.8,0.96365
643,0.96055
643.2,0.96123
643.4,0.95805
643.6,0.95483
643.8,0.95312
644,0.95052
644.2,0.94958
644.4,0.9485
644.6,0.94705
644.8,0.94583
645,0.94563
645.2,0.94689
645.4,0.94762
645.6,0.94552
645.8,0.9449
646,0.94834
646.2,0.94868
646.4,0.95048
646.6,0.95124
646.8,0.95273
647,0.95461
647.2,0.95562
647.4,0.95134
647.6,0.95165
647.8,0.95471
648,0.95367
648.2,0.95481
648.4,0.95578
648.6,0.95907
648.8,0.96086
649,0.96205
649.2,0.96171
649.4,0.9625
649.6,0.96192
649.8,0.96237
650,0.96559
650.2,0.96688
650.4,0.96738
650.6,0.96744
650.8,0.96529
651,0.96549
651.2,0.96644
651.4,0.96626
651.6,0.96548
651.8,0.96342
652,0.96479
652.2,0.96386
652.4,0.96376
652.6,0.96328
652.8,0.96213
653,0.96351
653.2,0.96424
653.4,0.96435
653.6,0.96424
653.8,0.96433
654,0.9654
654.2,0.96616
654.4,0.96333
654.6,0.96273
654.8,0.96299
655,0.96501
655.2,0.96779
655.4,0.9639
655.6,0.96304
655.8,0.96453
656,0.96605
656.2,0.96881
656.4,0.96759
656.6,0.96764
656.8,0.9655
657,0.96569
657.2,0.96491
657.4,0.96636
657.6,0.9646
657.8,0.96532
658,0.96436
658.2,0.96529
658.4,0.96474
658.6,0.96642
658.8,0.96958
659,0.96981
659.2,0.97114
659.4,0.97299
659.6,0.97363
659.8,0.97299
660,0.97475
660.2,0.97929
660.4,0.97827
660.6,0.97617
660.8,0.97768
661,0.97823
661.2,0.97671
661.4,0.97582
661.6,0.97773
661.8,0.97896
662,0.97867
662.2,0.98078
662.4,0.98006
662.6,0.97801
662.8,0.97748
663,0.97539
663.2,0.97798
663.4,0.97989
663.6,0.97873
663.8,0.98013
664,0.97885
664.2,0.97657
664.4,0.9758
664.6,0.9771
664.8,0.97837
665,0.9817
665.2,0.98374
665.4,0.98431
665.6,0.9823
665.8,0.98121
666,0.98159
666.2,0.9781
666.4,0.97756
666.6,0.97631
666.8,0.97741
667,0.97551
667.2,0.97428
667.4,0.97384
667.6,0.97419
667.8,0.97544
668,0.97961
668.2,0.98189
668.4,0.97989
668.6,0.97999
668.8,0.97864
669,0.97915
669.2,0.97976
669.4,0.98157
669.6,0.98073
669.8,0.98158
670,0.97993
670.2,0.9802
670.4,0.98272
670.6,0.98402
670.8,0.98295
671,0.98403
671.2,0.9829
671.4,0.98469
671.6,0.98656
671.8,0.98666
672,0.98483
672.2,0.9851
672.4,0.9861
672.6,0.98305
672.8,0.98101
673,0.98142
673.2,0.98368
673.4,0.98432
673.6,0.98709
673.8,0.98792
674,0.99091
674.2,0.99099
674.4,0.99063
674.6,0.992
674.8,0.99196
675,0.99179
675.2,0.99422
675.4,0.99418
675.6,0.99476
675.8,0.99531
676,0.99753
676.2,0.99911
676.4,0.99802
676.6,0.9966
676.8,0.99304
677,0.99607
677.2,0.99678
677.4,0.99579
677.6,0.99335
677.8,0.99297
678,0.99548
678.2,0.99702
678.4,0.99518
678.6,0.99574
678.8,0.99628
679,0.99393
679.2,0.994
679.4,0.99501
679.6,0.99496
679.8,0.99559
680,0.99516
680.2,0.99352
680.4,0.99265
680.6,0.99407
680.8,0.99504
681,0.99564
681.2,0.99416
681.4,0.99274
681.6,0.99126
681.8,0.98799
682,0.98365
682.2,0.98532
682.4,0.98729
682.6,0.98543
682.8,0.98537
683,0.98597
683.2,0.98445
683.4,0.98564
683.6,0.98508
683.8,0.98281
684,0.98035
684.2,0.98207
684.4,0.98309
684.6,0.98095
684.8,0.97563
685,0.97641
685.2,0.97678
685.4,0.97704
685.6,0.97564
685.8,0.97204
686,0.9708
686.2,0.96997
686.4,0.9722
686.6,0.97343
686.8,0.97065
687,0.97138
687.2,0.974
